ARB ID,Facility Name,Year,,Total_CO2,AEL,, Emitter CO2e from Non-Biogenic Sources and CH4 and N2O from Biogenic Fuels , Emitter CO2 from Biogenic Fuels , Fuel Supplier CO2e from Non-Biogenic Fuels and CH4 and N2O from Biogenic Fuels , Fuel Supplier CO2 from Biogenic Fuels , Electricity Importer CO2e  ,,Emissions ,Emissions , Electricity Importer Covered Emissions , Total Covered Emissions , Total Non-Covered Emissions  ,,Emissions Data,Product Data,Verification Body,,City,State,Zip Code,Description,U.S.EPA/ARB Subparts,Industry Sector
3006,3 Phases Renewables,2018,,"370,025",No,,0,0,0,0,"370,025",  ,0,0,"7,266","7,266","362,759",,Positive,N/A,"Carbon Verification Service, LLC",,El Segundo,CA,90245,221122 - Electric Power Distribution,EPE,Electricity Importer
104356,3M Corona,2018,,"15,247",No,,"15,247",0,0,0,0,  ,0,0,0,0,"15,247",,N/A,N/A,,,Corona,CA,92881,212319 - Other Crushed and Broken Stone Mining and Quarrying,C,Other Combustion Source
104796,AAK Richmond,2018,,"12,789",No,,"12,789",0,0,0,0,,0,0,0,0,"12,789",,N/A,N/A,,,Richmond,CA,94804,311225 - Fats and Oils Refining and Blending,C,Other Combustion Source
104213,ABI Foundry,2018,,"18,487",No,,"18,487",0,0,0,0,  ,0,0,0,0,"18,487",,N/A,N/A,,,Oakland,CA,94621,331511 - Iron Foundries,C,Other Combustion Source
104347,"Aemetis Advanced Fuels Keyes, Inc.",2018,,"78,140",No,,"78,140",0,0,0,0,  ,"78,140",0,0,"78,140",0,,Qualified Positive,N/A,"First Environment, Inc.",,Ceres,CA,95307,325193 - Ethyl Alcohol Manufacturing,C,Other Combustion Source
104018,Aera Energy Coastal Basins,2018,,"427,737",No,,"427,737",0,0,0,0,  ,"424,706",0,0,"424,706","3,030",,Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",,San Ardo,CA,93450,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104016,Aera Energy San Joaquin Basin,2018,,"3,241,464",No,,"3,241,464",0,0,0,0,  ,"3,214,236",0,0,"3,214,236","27,228",,Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",,Bakersfield,CA,93311,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104017,Aera Energy Ventura Basin,2018,,"26,000",No,,"26,000",0,0,0,0,  ,"23,162",0,0,"23,162","2,838",,Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",,Ventura,CA,93301,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
101321,"AES Alamitos, LLC",2018,,"686,628",No,,"686,628",0,0,0,0,  ,"686,628",0,0,"686,628",0,,Positive,N/A,Ashworth Leininger Group,,Long Beach,CA,90803,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
100194,"AES Huntington Beach, LLC",2018,,"201,649",No,,"201,649",0,0,0,0,  ,"201,649",0,0,"201,649",0,,Positive,N/A,Ashworth Leininger Group,,Huntington Beach,CA,92646,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
100257,AES Redondo Beach LLC,2018,,"194,685",No,,"194,685",0,0,0,0,  ,"194,685",0,0,"194,685",0,,Positive,N/A,Ashworth Leininger Group,,Redondo Beach,CA,90277,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
104659,Agera Energy LLC,2018,,0,No,,0,0,0,0,0,  ,0,0,0,0,0,,N/A,N/A,,,Briarcliff Maor,NY,10510,221122 - Electric Power Distribution,EPE,Electricity Importer
101701,Air Liquide El Segundo Hydrogen Plant,2018,,"574,150",No,,"574,150",0,0,0,0,  ,"574,150",0,0,"574,150",0,,Positive,Positive,"Trinity Consultants, Inc.",,El Segundo,CA,90245,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101749,Air Liquide Large Industries US L.P. - Rodeo Hydrogen Plant,2018,,"863,633",No,,"863,633",0,0,0,0,  ,"863,633",0,0,"863,633",0,,Positive,Positive,"Trinity Consultants, Inc.",,Rodeo,CA,94572,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101017,"Air Products & Chemicals, Inc., Martinez",2018,,"260,248",No,,"260,248",0,0,0,0,  ,"260,248",0,0,"260,248",0,,Positive,Positive,Ramboll US Corporation,,Martinez,CA,94553,325120 - Industrial Gas Manufacturing,P,Hydrogen Plant
101248,Air Products Carson Hydrogen Plant,2018,,"729,776",No,,"729,776",0,0,0,0,  ,"729,776",0,0,"729,776",0,,Positive,Positive,Ramboll US Corporation,,Carson,CA,90810,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101512,"Air Products Manufacturing Corporation, Sacramento",2018,,"49,679",No,,"49,679",0,0,0,0,  ,"49,679",0,0,"49,679",0,,Positive,Positive,Ramboll US Corporation,,Sacramento,CA,95826,325120 - Industrial Gas Manufacturing,P,Hydrogen Plant
100127,Air Products Wilmington Hydrogen Plant,2018,,"809,984",No,,"809,984",0,0,0,0,  ,"809,984",0,0,"809,984",0,,Positive,Positive,Ramboll US Corporation,,Wilmington,CA,90744,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
3022,Alameda Municipal Power,2018,,0,No,,0,0,0,0,0,  ,0,0,0,0,0,,N/A,N/A,,,Alameda,CA,94501,221122 - Electric Power Distribution,EPE,Electricity Importer
101433,"Algonquin Power Sanger, LLC",2018,,"66,723",No,,"66,723",0,0,0,0,  ,"66,723",0,0,"66,723",0,,Positive,N/A,SCS Engineers,,Sanger,CA,93657,221112 - Fossil Fuel Electric Power Generation,C,In-State Electricity Generation
104345,All American Asphalt - Corona,2018,,"12,925",No,,"12,925",0,0,0,0,  ,0,0,0,0,"12,925",,N/A,N/A,,,Corona,CA,92879,324121 - Asphalt Paving Mixture and Block Manufacturing,C,Other Combustion Source
104666,All American Asphalt - Irvine,2018,,"9,472",No,,"9,472",0,0,0,0,  ,0,0,0,0,"9,472",,N/A,N/A,,,Irvine,CA,92602,324121 - Asphalt Paving Mixture and Block Manufacturing,C,Other Combustion Source
104406,Allergan,2018,,"7,864",No,,"7,864",0,0,0,0,  ,0,0,0,0,"7,864",,N/A,N/A,,,Irvine,CA,92612,325412 - Pharmaceutical Preparation Manufacturing,C,Other Combustion Source
100884,Alon Bakersfield Refinery - Area 3,2018,,0,No,,0,0,0,0,0,  ,0,0,0,0,0,,N/A,N/A,,,Bakersfield,CA,93308,324110 - Petroleum Refineries,C,Refinery
101237,Alon Bakersfield Refinery - Areas 1&2,2018,,"18,850",No,,"18,850",0,0,0,0,  ,"18,850",0,0,"18,850",0,,Positive,N/A,"GHD Services, Inc.",,Bakersfield,CA,93308,324110 - Petroleum Refineries,C,Refinery
104499,Alon Bakersfield Refinery - Areas 1&2 - Fuel Supplier,2018,,0,No,,0,0,0,0,0,  ,0,0,0,0,0,,N/A,N/A,,,Bakersfield,CA,93308,324110 - Petroleum Refineries,MM,Transportation Fuel Supplier
101371,AltaGas Pomona Energy Inc (San Gabriel Energy Facility),2018,,0,No,,0,0,0,0,0,  ,0,0,0,0,0,,N/A,N/A,,,Pomona,CA,91768,221112 - Fossil Fuel Electric Power Generation,C,In-State Electricity Generation
100283,AltaGas Ripon Energy Inc.,2018,,"5,299",No,,"5,299",0,0,0,0,  ,0,0,0,0,"5,299",,N/A,N/A,,,Ripon,CA,95366,221112 - Fossil Fuel Electric Power Generation,C,In-State Electricity Generation
101056,AltAir Paramount LLC,2018,,"29,216",No,,"11,073","18,144",0,0,0,  ,0,0,0,0,"29,216",,Positive,N/A,"Trinity Consultants, Inc.",,Paramount,CA,90723,325199 - All Other Basic Organic Chemical Manufacturing,C,Refinery
104759,AltAir Paramount LLC - Fuel Supplier,2018,,"24,311",No,,0,0,"22,669","1,642",0,  ,0,0,0,0,"24,311",,N/A,N/A,,,Paramount,CA,90723,325199 - All Other Basic Organic Chemical Manufacturing,MM,Transportation Fuel Supplier
104027,Ameresco Chiquita Energy LLC,2018,,"35,678",No,,179,"35,499",0,0,0,  ,0,0,0,0,"35,678",,Positive,N/A,Ashworth Leininger Group,,Castaic,CA,91384,221117 - Biomass Electric Power Generation,C,In-State Electricity Generation
104637,Ameresco Forward LLC,2018,,"16,178",No,,81,"16,097",0,0,0,  ,0,0,0,0,"16,178",,N/A,N/A,,,Manteca,CA,95336,221117 - Biomass Electric Power Generation,C,In-State Electricity Generation
